Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Tennis duration (ms),Weight lifting duration (ms),Other duration (ms)
2020-08-15,37,1719.2640894407612,2038.0492644309998,12.0,12,,,,,,,,,,,,,,,,,0.7266749409884438,1.4916690587997437,0.2577533423900604,3250,,,,,83485509,1469200,,,,,
2020-08-16,8,1643.0014206999376,557.0379629135132,3.0,3,,,,,,,,,,,,,,,,,0.6009500644605232,1.4797046184539795,0.30200523138046265,944,,,,,86153431,221003,,,,,
2020-08-17,71,1767.2162586378574,3820.9945558309555,19.0,19,,,,,,,,,,,,,,,,,0.5812002888055721,1.4931741952896118,0.2658335566520691,5847,,,,,80285987,2254036,,,,,
2020-08-18,18,1672.8098635512988,946.254784822464,,,,,,,,,,,,,,,,,,,0.710740657313769,1.4607629776000977,0.25073671340942383,1708,,,,,83817187,708879,,,,,
2020-08-19,47,1736.0361591651413,1831.4594135284424,4.0,4,64.2,64.2,64.2,,,,,,,,,,,,,,0.5560261557450429,1.5469046831130981,0.24665294587612152,2969,,,,,79675938,1743709,,,,,
2020-08-20,42,1666.6114842036143,2270.838438630104,12.0,12,65.76,65.76,65.76,,,,,,,,,,,,,,0.6866013745928771,1.502407193183899,0.3287143409252167,3515,,,,,82826739,607430,,,,,
2020-08-21,35,1803.7256400290964,1879.9671840667725,12.0,12,,,,,,,,,,,,,,,,,0.6114010053753958,1.3938803672790527,0.2631976306438446,3045,,,,,81673044,2851589,,,,,
2020-08-22,73,1893.3690901492084,4738.445039987564,31.0,31,92.58,92.58,92.58,,,,,,,,,,,,,,0.6265415029735926,1.5946484804153442,0.25136005878448486,7229,,,,,75732932,4315858,,,,,
2020-08-23,53,1805.9619376970431,2799.978007555008,15.0,15,,,,,,,,,,,,,,,,,0.5753840870741148,1.5212458372116089,0.26188841462135315,4507,,,,,82436974,2888191,,,,,
2020-08-24,111,2038.3886864603637,5882.507902145386,31.0,31,,,,,,,,,,,,,,,,,0.6816432170866796,2.699141502380371,0.2467208057641983,9108,,,,,74864778,6692344,,,,,
2020-08-25,4,1636.0973177811877,258.04427909851074,,,,,,,,,,,,,,,,,,,0.7068553241018715,1.3444156646728516,0.4079005718231201,495,,,,,86234568,108004,,,,,
2020-08-26,34,1719.1621705369605,2211.122579097748,18.0,18,,,,,,,,,,,,,,,,,0.8100866366191867,1.827942132949829,0.25108128786087036,3128,,,,,84525195,1467530,,,,,
2020-08-27,5,1645.3062487679374,224.20895838737488,,,,,,,,,,,,,,,,,,,0.6603365473135437,0.9576255083084106,0.4686022698879242,515,,,,,86117195,258725,,,,,
2020-08-28,18,1669.391749628353,1033.183488726616,4.0,4,,,,,,,,,,,,,,,,,0.694105279821997,1.634760856628418,0.2520143389701843,1773,,,,,85668378,652935,,,,,
2020-08-29,23,1660.1774230405279,1271.334589958191,5.0,5,,,,,,,,,,,,,,,,,0.6554171184048945,1.5366137027740479,0.2629714906215668,2332,,,,,85080037,502123,,,,,
2020-08-30,7,1638.516540394449,425.2477264404297,,,,,,,,,,,,,,,,,,,0.538021209135971,1.255414605140686,0.2629714906215668,1130,,,,,74279382,147598,,,,,
2020-08-31,,1629.4985954897722,32.65769720077515,,,,,,,,,,,,,,,,,,,0.32871437072753906,0.32871437072753906,0.32871437072753906,121,,,,,86389681,,,,,,
2020-09-01,21,1652.0830804044235,1437.2582244873047,8.0,8,,,,,,,,,,,,,,,,,0.6344182847926687,1.5967599153518677,0.2629714906215668,2228,,,,,85268740,369641,,,,,
2020-09-02,13,1630.0947625490462,900.7177094221115,6.0,6,,,,,,,,,,,,,,,,,1.1701856431285902,1.6797558069229126,0.2848857641220093,1357,,,,,84403918,9759,,,,,
2020-09-03,11,1646.8824017888726,724.3314642906189,3.0,3,83.78,83.78,83.78,,,,,,,,,,,,,,0.4677565896396572,1.4313827753067017,0.2520143389701843,1299,,,,,85424910,284523,,,,,
2020-09-04,32,1694.3172657741272,1642.4835031032562,7.0,7,,,,,,,,,,,,,,,,,0.7164323351649051,1.5076589584350586,0.2698013186454773,2680,,,,,84835035,1060893,,,,,
2020-09-05,49,1776.9421774780146,3184.604926943779,26.0,26,148.55,148.55,148.55,,,,,,,,,,,,,,0.7105553697913217,1.5628334283828735,0.2520143389701843,4745,,,,,83622593,2413221,,,,,
2020-09-06,30,1714.8725029974855,1805.4409873485565,9.0,9,,,,,,,,,,,,,,,,,0.7673892468008626,1.7888476848602295,0.2687927782535553,2703,,,,,83996949,1397323,,,,,
2020-09-07,60,1828.108085086486,4415.763385772705,39.0,39,126.12,126.12,126.12,,,,,,,,,,,,,,0.6660293723877933,1.8088608980178833,0.2720502018928528,6163,,,,,82821251,3246241,,,,,
2020-09-08,35,1740.7434491109318,2189.5018076896667,17.0,17,116.21,116.21,116.21,,,,,,,,,,,,,,0.6889085527845645,1.5529080629348755,0.2768976092338562,3191,,,,,84153381,1820753,,,,,
2020-09-09,78,1858.4188413161899,4902.243683099747,28.0,28,,,,,,,,,,,,,,,,,0.7853267778530991,1.8207828998565674,0.2629714906215668,7342,,,,,79694501,3547878,87448,,,,
2020-09-10,35,1727.6691626226568,1838.5772906541824,8.0,8,,,,,,,,,,,,,,,,,0.6863642498592989,1.4717859029769897,0.264612078666687,3123,77.12996180328184,77.5999984741211,76.6500015258789,,83666433,1511618,,,,,
2020-09-11,16,1700.430667941617,1314.6924386024475,15.0,9,91.37,91.37,91.37,,,,,,,,,,,,,,0.6796976290450772,2.5086939334869385,0.32788988947868347,1856,77.1500015258789,77.1500015258789,77.1500015258789,,85739991,470016,189993,,,,
2020-09-12,56,1804.5511742625597,3165.344530105591,17.0,17,,,,,,,,,,,,,,,,,0.5678535314385058,1.7010680437088013,0.25140678882598877,4954,75.3499984741211,75.3499984741211,75.3499984741211,,81181715,2845527,,,,,
2020-09-13,3,1627.7516631809235,139.1247010231018,,,,,,,,,,,,,,,,,,,0.6013918916940079,0.9034160375595093,0.39912524819374084,382,76.4000015258789,76.4000015258789,76.4000015258789,,86400000,,,,,,
2020-09-14,75,1883.01341576099,4676.740221381187,24.0,24,,,,,,,,,,,,,,,,,0.8079648479885606,1.9326976537704468,0.2503560483455658,7052,,,,,81572566,3368808,274977,,,,
2020-09-15,53,1838.992578985059,3623.2867506742477,25.0,25,,,,,,,,,,,,,,,,,0.5918815912993669,1.4622524976730347,0.27392861247062683,5456,76.75,76.75,76.75,,82308349,2884404,161828,,,,
2020-09-16,23,1706.9049593646732,1349.163242340088,11.0,8,107.21,107.21,107.21,,,,,,,,,,,,,,0.7794450342461705,2.184230089187622,0.24966885149478912,1947,76.5999984741211,76.5999984741211,76.5999984741211,,85116504,1105516,,,,,
2020-09-17,12,1670.5687236666208,680.3423042297363,3.0,3,123.5,123.5,123.5,,,,,,,,,,,,,,0.9123444122098194,1.6164942979812622,0.27392861247062683,1111,76.3499984741211,76.3499984741211,76.3499984741211,,85847571,552429,,,,,
2020-09-18,73,1881.3768039850288,5726.203819990158,54.0,54,142.86,142.86,142.86,,,,,,,,,,,,,,0.810930902832034,1.5886059999465942,0.2519920766353607,8056,76.4000015258789,76.4000015258789,76.4000015258789,,81915564,3977627,,,,,
2020-09-19,26,1743.9630553760778,1747.6211137771606,12.0,10,,,,,,,,,,,,,,,,,0.7151242778857578,9.096362113952637,0.24395371973514557,2634,,,,,84103161,1740435,,,,,
2020-09-20,111,1838.0378868262098,6344.191297411919,40.0,40,,,,,,,,,,,,,,,,,5.802444982022861,29.5975399017334,0.3114791810512543,9547,,,,,66278587,3274030,,,,,
2020-09-21,91,1661.5545360315848,3792.7329540252686,7.0,7,,,,,,,,,,,,,,,,,0.5723135881326212,1.5463571548461914,0.2507103383541107,6325,,,,,74702844,414114,,,,,
2020-09-22,77,1635.9999383773375,3470.7626419067383,12.0,12,,,,,,,,,,,,,,,,,1.4702255196212464,7.003654479980469,0.2520143389701843,5552,,,,,76445753,,,,,,
2020-09-23,58,1635.9999385983276,2204.6967883110046,,,,,,,,,,,,,,,,,,,0.6627595078426881,2.5544025897979736,0.24991589784622192,3797,,,,,85671280,,,,,,
2020-09-24,101,1925.760478848877,5711.361015200615,35.0,29,,,,,,,,,,,,,,,,,0.6601015597430291,2.3333795070648193,0.2520143389701843,8645,77.5,77.5,77.5,,76616642,4375842,,,,,
2020-09-25,63,1710.0316576194002,2341.3409897089005,,,,,,,,,,,,,,,,,,,0.690994204785331,1.085801124572754,0.27945566177368164,4143,77.5,77.5,77.5,,83319135,1004599,,,,,
2020-09-26,71,1815.5685181633187,5131.43980717659,50.0,44,,,,,,,,,,,,,,,,,0.5844413775916525,2.309743642807007,0.2520143389701843,7148,77.94999694824219,77.94999694824219,77.94999694824219,,83120743,2634128,,,,,
2020-09-27,11,1651.4998762221844,635.2705788612366,2.0,2,,,,,,,,,,,,,,,,,0.5006555876808294,1.7575621604919434,0.2629714906215668,975,,,,,86385179,,,,,,
2020-09-28,79,1651.4999940551218,3342.41330909729,,,,,,,,,,,,,,,,,,,0.7269355691934635,1.153102993965149,0.24664485454559326,5559,,,,,85905955,,,,,,
