,cycle_id,user_id_x,created_ts_x,updated_ts_x,cycle_start_ts,cycle_end_ts,timezone_offset,score_state_x,score_strain,score_kilojoule,score_avg_heart_rate,score_max_heart_rate,cycle_length_timedelta,cycle_length_hours,sleep_id,user_id_y,created_ts_y,updated_ts_y,score_state_y,user_calibrating,recovery_score,resting_heart_rate,hrv_rmssd_milli,spo2_percentage,skin_temp_celsius,total_strain,num_workouts,total_in_bed_time_hrs,avg_sleep_performance,total_light_sleep_time_hrs,total_rem_sleep_time_hrs,total_slow_wave_sleep_time_hrs,avg_respiratory_rate
21,675982965,12843267,2024-09-29 06:39:04.130000+00:00,2024-09-30 05:41:49.227000+00:00,2024-09-28 22:42:35.304000+00:00,2024-09-29 21:39:09.321000+00:00,+01:00,SCORED,14.991921,11166.991,71,187,0 days 22:56:34.017000,22.9427825,1255137913.0,12843267.0,2024-09-29 06:39:04.130000+00:00,2024-09-29 06:39:09.212000+00:00,SCORED,False,82.0,52.0,75.56755,95.375,32.6,11.919699999999999,2.0,778.6391944444445,80.0,399.7212222222222,158.61766666666668,157.01525,14.296875
22,675177481,12843267,2024-09-28 07:00:56.851000+00:00,2024-09-29 06:39:09.311000+00:00,2024-09-27 22:20:55.719000+00:00,2024-09-28 22:42:35.304000+00:00,+01:00,SCORED,16.70613,12977.654,73,177,1 days 00:21:39.585000,24.360995833333334,1253568053.0,12843267.0,2024-09-28 07:00:56.851000+00:00,2024-09-28 07:01:02.225000+00:00,SCORED,False,76.0,53.0,71.507904,99.0,32.226665,33.1886,4.0,847.5340277777777,90.0,346.84819444444446,227.51102777777777,212.29188888888888,14.238281
23,674381329,12843267,2024-09-27 07:15:50.417000+00:00,2024-09-28 07:01:01.993000+00:00,2024-09-26 23:02:14.270000+00:00,2024-09-27 22:20:55.719000+00:00,+01:00,SCORED,13.425924,10062.429,75,173,0 days 23:18:41.449000,23.31151361111111,1252043069.0,12843267.0,2024-09-27 07:15:50.417000+00:00,2024-09-27 07:15:55.387000+00:00,SCORED,False,31.0,63.0,52.159485,95.9,33.675,5.9452,1.0,804.3143888888889,84.0,424.5783055555556,144.97152777777777,174.63905555555556,15.234375
24,673511042,12843267,2024-09-26 06:28:57.374000+00:00,2024-09-27 17:41:39.474000+00:00,2024-09-25 22:46:21.934000+00:00,2024-09-26 23:02:14.270000+00:00,+01:00,SCORED,12.444147,10092.147,74,161,1 days 00:15:52.336000,24.26453777777778,1250403043.0,12843267.0,2024-09-26 06:28:57.374000+00:00,2024-09-26 06:29:02.016000+00:00,SCORED,False,51.0,56.0,62.84598,96.958336,33.016953,15.163599999999999,3.0,744.1920555555556,78.0,305.2182222222222,238.6993611111111,143.3972777777778,14.1796875
25,672657723,12843267,2024-09-25 06:19:31.219000+00:00,2024-09-27 17:41:24.225000+00:00,2024-09-24 22:15:05.388000+00:00,2024-09-25 22:46:21.934000+00:00,+01:00,SCORED,11.2434225,9531.195,69,158,1 days 00:31:16.546000,24.52126277777778,1248737650.0,12843267.0,2024-09-25 06:19:31.219000+00:00,2024-09-25 06:19:36.921000+00:00,SCORED,False,50.0,53.0,65.96435,98.0,32.503334,11.4566,2.0,789.8487777777777,79.0,391.7043611111111,198.67152777777778,132.98263888888889,14.238281
26,671727672,12843267,2024-09-24 05:06:20.029000+00:00,2024-09-25 06:20:04.308000+00:00,2024-09-23 22:03:29.800000+00:00,2024-09-24 22:15:05.388000+00:00,+01:00,SCORED,15.363661,10552.845,74,162,1 days 00:11:35.588000,24.19321888888889,1246929911.0,12843267.0,2024-09-24 05:06:20.029000+00:00,2024-09-24 05:06:24.641000+00:00,SCORED,False,51.0,56.0,66.734566,95.833336,33.186207,21.7698,3.0,693.7253055555556,79.0,369.3061666666667,183.45258333333334,97.70727777777778,14.4140625
27,671005725,12843267,2024-09-23 07:19:34.039000+00:00,2024-09-24 05:06:25.135000+00:00,2024-09-22 23:12:12.480000+00:00,2024-09-23 22:03:29.800000+00:00,+01:00,SCORED,8.723913,8099.5117,68,155,0 days 22:51:17.320000,22.85481111111111,1245419234.0,12843267.0,2024-09-23 07:19:34.039000+00:00,2024-09-23 07:19:39.124000+00:00,SCORED,False,74.0,52.0,74.123375,96.291664,32.8,,,791.4574444444445,90.0,374.08525,158.61872222222223,192.26336111111112,14.121094
28,670167015,12843267,2024-09-22 08:07:14.345000+00:00,2024-09-23 07:19:39.150000+00:00,2024-09-21 23:16:30.545000+00:00,2024-09-22 23:12:12.480000+00:00,+01:00,SCORED,7.918868,8267.091,66,153,0 days 23:55:41.935000,23.928315277777777,1243871447.0,12843267.0,2024-09-22 08:07:14.345000+00:00,2024-09-22 08:07:19.385000+00:00,SCORED,False,84.0,52.0,77.72831,98.6,33.103333,4.2154,1.0,845.1289722222223,94.0,392.5085277777778,217.0981111111111,174.63933333333333,14.121094
29,669258351,12843267,2024-09-21 06:33:29.767000+00:00,2024-09-22 08:07:19.462000+00:00,2024-09-20 22:53:53.308000+00:00,2024-09-21 23:16:30.545000+00:00,+01:00,SCORED,8.870086,8645.199,67,162,1 days 00:22:37.237000,24.377010277777778,1242142091.0,12843267.0,2024-09-21 06:33:29.767000+00:00,2024-09-21 07:53:54.434000+00:00,SCORED,False,59.0,57.0,66.373665,95.1875,33.1,8.918199999999999,2.0,881.1775833333334,89.0,390.13169444444446,210.66252777777777,185.8555,14.355469
30,668414131,12843267,2024-09-20 05:51:47.579000+00:00,2024-09-21 06:33:34.990000+00:00,2024-09-19 22:12:32.212000+00:00,2024-09-20 22:53:53.308000+00:00,+01:00,SCORED,12.6985445,9628.316,70,177,1 days 00:41:21.096000,24.689193333333332,1240513806.0,12843267.0,2024-09-20 05:51:47.579000+00:00,2024-09-20 05:51:52.306000+00:00,SCORED,False,87.0,52.0,81.614365,95.85714,33.253334,14.4606,3.0,753.8013611111111,79.0,379.6888333333333,173.03725,130.5786388888889,14.1015625
31,667620767,12843267,2024-09-19 06:17:36.115000+00:00,2024-09-20 06:18:17.510000+00:00,2024-09-18 22:12:32.155000+00:00,2024-09-19 22:12:32.212000+00:00,+01:00,SCORED,12.553839,9684.417,72,172,1 days 00:00:00.057000,24.000015833333332,1238915067.0,12843267.0,2024-09-19 06:17:36.115000+00:00,2024-09-19 06:17:41.175000+00:00,SCORED,False,51.0,56.0,61.167435,96.15385,33.7,15.6755,3.0,791.4795833333334,84.0,422.1748611111111,165.82694444444445,140.9928888888889,14.287109
32,666715019,12843267,2024-09-18 05:23:19.277000+00:00,2024-09-19 06:21:14.046000+00:00,2024-09-17 21:29:13+00:00,2024-09-18 22:12:32.155000+00:00,+01:00,SCORED,13.950969,9708.747,70,153,1 days 00:43:19.155000,24.7219875,1237144792.0,12843267.0,2024-09-18 05:23:19.277000+00:00,2024-09-18 05:23:24.526000+00:00,SCORED,False,86.0,53.0,78.87027,96.15,33.1,15.6341,2.0,776.2318333333334,86.0,352.48069444444445,214.66641666666666,153.80941666666666,14.5703125
33,665906462,12843267,2024-09-17 05:55:25.896000+00:00,2024-09-18 05:23:24.387000+00:00,2024-09-16 21:33:53.538000+00:00,2024-09-17 21:29:13+00:00,+01:00,SCORED,12.456211,10067.216,70,154,0 days 23:55:19.462000,23.922072777777778,1235472748.0,12843267.0,2024-09-17 05:55:25.896000+00:00,2024-09-17 05:56:26.048000+00:00,SCORED,False,72.0,53.0,69.64331,94.2,32.3,9.9205,2.0,814.68875,92.0,365.29955555555557,238.70155555555556,163.42397222222223,14.3359375
34,665039299,12843267,2024-09-16 05:40:32.094000+00:00,2024-09-17 05:55:31.023000+00:00,2024-09-15 21:44:55.744000+00:00,2024-09-16 21:33:53.538000+00:00,+01:00,SCORED,11.765232,9591.782,71,154,0 days 23:48:57.794000,23.816053888888888,1233745988.0,12843267.0,2024-09-16 05:40:32.094000+00:00,2024-09-16 05:40:37.529000+00:00,SCORED,False,64.0,56.0,64.5876,95.833336,32.343334,4.5492,1.0,778.6401111111111,89.0,422.9532222222222,144.19747222222222,140.9933611111111,14.1796875
35,664294940,12843267,2024-09-15 08:04:57.327000+00:00,2024-09-16 05:40:37.240000+00:00,2024-09-14 21:59:19.265000+00:00,2024-09-15 21:44:55.744000+00:00,+01:00,SCORED,11.359771,9393.644,70,166,0 days 23:45:36.479000,23.760133055555556,1232309285.0,12843267.0,2024-09-15 08:04:57.327000+00:00,2024-09-15 08:05:02.161000+00:00,SCORED,False,57.0,58.0,62.253704,95.71429,32.503334,4.4675,1.0,898.7988888888889,98.0,535.1033888888888,171.43477777777778,138.58994444444446,15.175781
36,663454678,12843267,2024-09-14 07:41:31.608000+00:00,2024-09-15 08:05:02.510000+00:00,2024-09-13 22:29:05.683000+00:00,2024-09-14 21:59:19.265000+00:00,+01:00,SCORED,9.511883,8689.089,71,158,0 days 23:30:13.582000,23.503772777777776,1230666004.0,12843267.0,2024-09-14 07:41:31.608000+00:00,2024-09-14 07:41:36.647000+00:00,SCORED,False,26.0,64.0,49.367916,95.07143,32.7,,,817.1186944444445,81.0,377.3158888888889,170.63383333333334,202.67827777777777,15.5859375
37,662513226,12843267,2024-09-13 05:18:31.465000+00:00,2024-09-14 07:41:36.720000+00:00,2024-09-12 22:42:31.391000+00:00,2024-09-13 22:29:05.683000+00:00,+01:00,SCORED,14.02906,10882.935,74,161,0 days 23:46:34.292000,23.77619222222222,1228918050.0,12843267.0,2024-09-13 05:18:31.465000+00:00,2024-09-13 05:18:36.501000+00:00,SCORED,False,38.0,57.0,59.610214,97.0,32.29,9.279900000000001,2.0,651.2631944444445,71.0,258.72555555555556,177.04183333333333,156.21505555555555,14.296875
38,661805211,12843267,2024-09-12 07:09:59.551000+00:00,2024-09-13 05:18:36.593000+00:00,2024-09-11 22:32:22.537000+00:00,2024-09-12 22:42:31.391000+00:00,+01:00,SCORED,13.063606,10097.112,71,171,1 days 00:10:08.854000,24.16912611111111,1227443664.0,12843267.0,2024-09-12 07:09:59.551000+00:00,2024-09-12 07:10:06.417000+00:00,SCORED,False,53.0,56.0,68.92666,95.28571,32.4,,,857.6535555555555,93.0,398.1465,199.95347222222222,207.48430555555555,14.824219
39,660919547,12843267,2024-09-11 06:17:17.356000+00:00,2024-09-12 07:10:04.701000+00:00,2024-09-10 22:10:43.889000+00:00,2024-09-11 22:32:22.537000+00:00,+01:00,SCORED,16.127312,13354.173,76,162,1 days 00:21:38.648000,24.360735555555557,1225703292.0,12843267.0,2024-09-11 06:17:17.356000+00:00,2024-09-11 06:17:22.350000+00:00,SCORED,False,30.0,57.0,56.152386,98.15,33.68667,15.0674,3.0,797.8871944444444,91.0,465.43205555555556,146.6016111111111,130.57866666666666,15.175781
40,660054891,12843267,2024-09-10 05:56:17.725000+00:00,2024-09-11 06:25:19.129000+00:00,2024-09-09 21:28:24.704000+00:00,2024-09-10 22:10:43.889000+00:00,+01:00,SCORED,11.693555,9392.913,67,160,1 days 00:42:19.185000,24.705329166666665,1223967335.0,12843267.0,2024-09-10 05:56:17.725000+00:00,2024-09-10 05:56:22.601000+00:00,SCORED,False,73.0,52.0,78.91893,97.666664,32.833332,12.767299999999999,2.0,813.8841388888889,95.0,362.8677777777778,224.30672222222222,149.00455555555556,14.53125
41,659273487,12843267,2024-09-09 06:59:27.528000+00:00,2024-09-10 05:56:22.856000+00:00,2024-09-08 21:42:18.397000+00:00,2024-09-09 21:28:24.704000+00:00,+01:00,SCORED,9.013141,8519.289,64,170,0 days 23:46:06.307000,23.768418611111112,1222355383.0,12843267.0,2024-09-09 06:59:27.528000+00:00,2024-09-09 06:59:40.603000+00:00,SCORED,False,89.0,50.0,87.3794,94.92857,33.7,4.6192,1.0,920.4331388888888,100.0,479.02869444444445,255.54994444444444,84.91644444444445,14.931641
42,658472427,12843267,2024-09-08 08:24:10.154000+00:00,2024-09-09 06:59:32.677000+00:00,2024-09-07 22:50:02.614000+00:00,2024-09-08 21:42:18.397000+00:00,+01:00,SCORED,12.247646,9191.987,69,176,0 days 22:52:15.783000,22.871050833333335,1220831119.0,12843267.0,2024-09-08 08:24:10.154000+00:00,2024-09-08 08:24:15.048000+00:00,SCORED,False,36.0,55.0,62.653957,94.666664,32.391552,19.564799999999998,4.0,942.8959166666667,100.0,461.43569444444444,198.67197222222222,177.84375,15.527344
43,657603927,12843267,2024-09-07 07:17:34.550000+00:00,2024-09-08 08:24:50.440000+00:00,2024-09-06 22:41:51.100000+00:00,2024-09-07 22:50:02.614000+00:00,+01:00,SCORED,12.91814,10164.224,70,169,1 days 00:08:11.514000,24.136531666666666,1219133100.0,12843267.0,2024-09-07 07:17:34.550000+00:00,2024-09-07 07:17:39.778000+00:00,SCORED,False,62.0,53.0,75.02611,98.14286,32.408333,15.8123,3.0,837.1128055555556,90.0,347.64719444444444,235.51952777777777,197.86997222222223,14.707031
44,656711029,12843267,2024-09-06 05:35:28.407000+00:00,2024-09-07 07:17:39.698000+00:00,2024-09-05 21:32:07.892000+00:00,2024-09-06 22:41:51.100000+00:00,+01:00,SCORED,13.471458,9295.476,67,161,1 days 01:09:43.208000,25.162002222222224,1217440337.0,12843267.0,2024-09-06 05:35:28.407000+00:00,2024-09-06 05:35:33.156000+00:00,SCORED,False,89.0,50.0,87.3992,96.5,33.1,15.920300000000001,2.0,784.2436388888889,86.0,478.22644444444444,125.77244444444445,121.76586111111111,14.472656
